tof(microsec),V,E
9905,0.13819,0.01661
9915,0.13161,0.01623
9925,0.13795,0.01821
9935,0.12563,0.01715
9945,0.13173,0.01778
9955,0.13405,0.01838
9965,0.12941,0.01609
9975,0.12709,0.01555
9985,0.1277,0.01578
9995,0.1327,0.01626
10005,0.13722,0.01735
10015,0.1299,0.01655
10025,0.13405,0.01726
10035,0.12819,0.01755
10045,0.13173,0.01752
10055,0.13502,0.01758
10065,0.13575,0.01655
10075,0.13331,0.01735
10085,0.13746,0.01812
10095,0.14429,0.01712
10105,0.13258,0.01652
10115,0.13197,0.01806
10125,0.13807,0.01806
10135,0.13039,0.01746
10145,0.14295,0.01824
10155,0.13222,0.01695
10165,0.13612,0.01755
10175,0.12892,0.01746
10185,0.13319,0.01769
10195,0.1338,0.01732
10205,0.1288,0.01741
10215,0.13527,0.01638
10225,0.1349,0.01635
10235,0.14002,0.01798
10245,0.1377,0.01706
10255,0.13466,0.01726
10265,0.13563,0.01589
10275,0.13136,0.01815
10285,0.1349,0.01618
10295,0.13636,0.01589
10305,0.12758,0.01618
10315,0.12844,0.01518
10325,0.12624,0.01526
10335,0.12978,0.01572
10345,0.12904,0.01649
10355,0.13307,0.01726
10365,0.13014,0.01641
10375,0.12807,0.01601
10385,0.13783,0.01632
10395,0.13441,0.01638
10405,0.13392,0.01661
10415,0.13283,0.01641
10425,0.13283,0.01606
10435,0.12624,0.01606
10445,0.12917,0.01821
10455,0.13661,0.01572
10465,0.13356,0.01689
10475,0.13063,0.01669
10485,0.12819,0.01715
10495,0.12307,0.01543
10505,0.12551,0.01758
10515,0.13344,0.01563
10525,0.13563,0.01761
10535,0.12612,0.01566
10545,0.13136,0.01618
10555,0.13307,0.01726
10565,0.12709,0.01618
10575,0.12978,0.01563
10585,0.13039,0.01755
10595,0.13258,0.01598
10605,0.13112,0.01555
10615,0.12734,0.01626
10625,0.12624,0.01643
10635,0.13307,0.01712
10645,0.1349,0.01669
10655,0.13368,0.01569
10665,0.1288,0.01675
10675,0.13185,0.01646
10685,0.1377,0.01781
10695,0.13539,0.01775
10705,0.12722,0.01566
10715,0.13453,0.01732
10725,0.13478,0.01844
10735,0.14185,0.01681
10745,0.13331,0.01812
10755,0.13136,0.01658
10765,0.12978,0.01709
10775,0.13209,0.01718
10785,0.12502,0.01603
10795,0.13807,0.01569
